execTime = 0; time = 0
execTime = 0.00846598; time = 4.08375
execTime = 0.00848401; time = 4.09223
execTime = 0.00972495; time = 4.10196
execTime = 0.00839882; time = 4.11036
execTime = 0.00837243; time = 4.11873
execTime = 0.00835983; time = 4.12709
execTime = 0.00846128; time = 4.13555
execTime = 0.00843199; time = 4.14398
execTime = 0.00843172; time = 4.15242
execTime = 0.00840089; time = 4.16082
execTime = 0.00851465; time = 4.16933
execTime = 0.00921503; time = 4.17855
execTime = 0.00850593; time = 4.18705
execTime = 0.00838777; time = 4.19544
execTime = 0.00856079; time = 4.204
execTime = 0.0084341; time = 4.21243
execTime = 0.00853872; time = 4.22097
execTime = 0.00852695; time = 4.2295
execTime = 0.00855077; time = 4.23805
execTime = 0.00846173; time = 4.24651
execTime = 0.00967929; time = 4.25619
execTime = 0.00814813; time = 4.26434
execTime = 0.00820929; time = 4.27255
execTime = 0.00804841; time = 4.2806
execTime = 0.00803466; time = 4.28863
execTime = 0.00890274; time = 4.29754
execTime = 0.00807194; time = 4.30561
execTime = 0.00793145; time = 4.31354
execTime = 0.00790645; time = 4.32144
execTime = 0.00787114; time = 4.32932
execTime = 0.00808425; time = 4.3374
execTime = 0.00778812; time = 4.34519
execTime = 0.00808538; time = 4.35327
execTime = 0.00804747; time = 4.36132
execTime = 0.00828072; time = 4.3696
execTime = 0.00792684; time = 4.37753
execTime = 0.00795882; time = 4.38549
execTime = 0.00802235; time = 4.39351
execTime = 0.00802096; time = 4.40153
execTime = 0.00840613; time = 4.40994
execTime = 0.00796889; time = 4.41791
execTime = 0.00795263; time = 4.42586
execTime = 0.00801398; time = 4.43387
execTime = 0.00800061; time = 4.44187
execTime = 0.00790854; time = 4.44978
execTime = 0.00791898; time = 4.4577
execTime = 0.00800141; time = 4.4657
execTime = 0.00792487; time = 4.47363
execTime = 0.00799197; time = 4.48162
execTime = 0.00804464; time = 4.48966
execTime = 0.00947286; time = 4.49914
execTime = 0.00799848; time = 4.50713
execTime = 0.00795142; time = 4.51509
execTime = 0.00809912; time = 4.52319
execTime = 0.00814948; time = 4.53133
execTime = 0.00802963; time = 4.53936
execTime = 0.00820523; time = 4.54757
execTime = 0.00816904; time = 4.55574
execTime = 0.00802517; time = 4.56376
execTime = 0.00797852; time = 4.57174
execTime = 0.00795429; time = 4.5797
execTime = 0.00801563; time = 4.58771
execTime = 0.0078856; time = 4.5956
execTime = 0.00980265; time = 4.6054
execTime = 0.0079697; time = 4.61337
execTime = 0.00799347; time = 4.62136
execTime = 0.00809508; time = 4.62946
execTime = 0.00811654; time = 4.63758
execTime = 0.00809921; time = 4.64567
execTime = 0.0082224; time = 4.6539
execTime = 0.00813637; time = 4.66203
execTime = 0.00807502; time = 4.67011
execTime = 0.00790408; time = 4.67801
execTime = 0.00797901; time = 4.68599
execTime = 0.00795984; time = 4.69395
execTime = 0.00792715; time = 4.70188
execTime = 0.00796511; time = 4.70984
execTime = 0.00798861; time = 4.71783
execTime = 0.00809983; time = 4.72593
execTime = 0.00800446; time = 4.73394
execTime = 0.00993568; time = 4.74387
execTime = 0.00815359; time = 4.75203
execTime = 0.00815101; time = 4.76018
execTime = 0.00806068; time = 4.76824
execTime = 0.00807207; time = 4.77631
execTime = 0.00811295; time = 4.78442
execTime = 0.00882294; time = 4.79325
execTime = 0.00813054; time = 4.80138
execTime = 0.0082774; time = 4.80965
execTime = 0.00830912; time = 4.81796
execTime = 0.00816497; time = 4.82613
execTime = 0.00804122; time = 4.83417
execTime = 0.00805823; time = 4.84223
execTime = 0.00905406; time = 4.85128
execTime = 0.00789678; time = 4.85918
execTime = 0.00801943; time = 4.8672
execTime = 0.00980267; time = 4.877
execTime = 0.00825833; time = 4.88526
execTime = 0.0082026; time = 4.89346
execTime = 0.00817028; time = 4.90163
execTime = 0.00948994; time = 4.91112
execTime = 0.00836184; time = 4.91948
execTime = 0.00830111; time = 4.92778
execTime = 0.00818098; time = 4.93596
execTime = 0.00830877; time = 4.94427
execTime = 0.00825235; time = 4.95253
execTime = 0.00803909; time = 4.96057
execTime = 0.00879086; time = 4.96936
execTime = 0.00823091; time = 4.97759
execTime = 0.00809738; time = 4.98568
execTime = 0.00784883; time = 4.99353
execTime = 0.00787478; time = 5.00141
execTime = 0.00808691; time = 5.00949
execTime = 0.00794728; time = 5.01744
execTime = 0.0082738; time = 5.02572
execTime = 0.00770584; time = 5.03342
execTime = 0.00791121; time = 5.04133
execTime = 0.00782434; time = 5.04916
execTime = 0.00780632; time = 5.05696
execTime = 0.00778374; time = 5.06475
execTime = 0.00798374; time = 5.07273
execTime = 0.00867976; time = 5.08141
execTime = 0.00856419; time = 5.08998
execTime = 0.0078924; time = 5.09787
execTime = 0.0079641; time = 5.10583
execTime = 0.00793971; time = 5.11377
execTime = 0.00795893; time = 5.12173
execTime = 0.00793254; time = 5.12966
execTime = 0.0090835; time = 5.13875
execTime = 0.0079341; time = 5.14668
execTime = 0.00793409; time = 5.15461
execTime = 0.00784911; time = 5.16246
execTime = 0.00779254; time = 5.17026
execTime = 0.00782081; time = 5.17808
execTime = 0.00776017; time = 5.18584
execTime = 0.00771764; time = 5.19355
execTime = 0.0077175; time = 5.20127
execTime = 0.00775128; time = 5.20902
execTime = 0.00778748; time = 5.21681
execTime = 0.00774478; time = 5.22456
execTime = 0.00783201; time = 5.23239
execTime = 0.00783668; time = 5.24022
execTime = 0.0079554; time = 5.24818
execTime = 0.00923733; time = 5.25742
execTime = 0.00788259; time = 5.2653
execTime = 0.00796159; time = 5.27326
execTime = 0.00784303; time = 5.2811
execTime = 0.00776069; time = 5.28887
execTime = 0.00781514; time = 5.29668
execTime = 0.00779166; time = 5.30447
execTime = 0.00838089; time = 5.31285
execTime = 0.00770479; time = 5.32056
execTime = 0.00779463; time = 5.32835
execTime = 0.00778553; time = 5.33614
execTime = 0.00787549; time = 5.34401
execTime = 0.00774731; time = 5.35176
execTime = 0.00837514; time = 5.36014
execTime = 0.00832791; time = 5.36846
execTime = 0.00836687; time = 5.37683
execTime = 0.00833807; time = 5.38517
execTime = 0.00816854; time = 5.39334
execTime = 0.0105609; time = 5.4039
execTime = 0.00845658; time = 5.41235
